employee_id,product_id,product_name,price,discount,stock,sold_quantity,rating,reviews,supplier,purchase_cost,profit,expiry_date,manufacturing_date,customer_gender,customer_type,payment_method,transaction_id,order_status,delivery_time,return_status,feedback,desercion_de_clientes
801,P1000,Item_D,2684,23,192,21,1.5,427,Supplier_C,2535,-468.32000000000016,2025-01-01,2024-01-01,Male,Regular,Mobile Payment,T50000,Pending,2,Not Returned,Average,posible abandono
173,P1001,Item_A,2704,15,21,62,2.6,383,Supplier_B,1180,1118.4,2025-01-02,2024-01-02,Female,Regular,Credit Card,T50001,Completed,12,Not Returned,Good,cliente
974,P1002,Item_C,3173,6,66,11,3.9,50,Supplier_A,2588,394.6199999999999,2025-01-03,2024-01-03,Male,New,Credit Card,T50002,Pending,7,Returned,Average,posible abandono
206,P1003,Item_D,4320,26,180,9,4.5,106,Supplier_A,567,2629.8,2025-01-04,2024-01-04,Male,VIP,Credit Card,T50003,Cancelled,13,Not Returned,Good,posible abandono
994,P1004,Item_B,2557,34,81,73,2.0,72,Supplier_C,3272,-1584.38,2025-01-05,2024-01-05,Female,Regular,Mobile Payment,T50004,Pending,11,Returned,Good,posible abandono
349,P1005,Item_B,1568,24,70,83,4.2,400,Supplier_C,1740,-548.3199999999999,2025-01-06,2024-01-06,Male,Regular,Cash,T50005,Pending,8,Not Returned,Good,posible abandono
109,P1006,Item_D,90,11,27,50,4.2,115,Supplier_A,74,6.099999999999994,2025-01-07,2024-01-07,Male,Regular,Mobile Payment,T50006,Pending,2,Not Returned,Bad,posible abandono
491,P1007,Item_C,1303,10,94,48,3.5,373,Supplier_B,73,1099.7,2025-01-08,2024-01-08,Male,Regular,Mobile Payment,T50007,Cancelled,11,Not Returned,Good,posible abandono
482,P1008,Item_C,2062,40,83,55,3.1,132,Supplier_B,1981,-743.8,2025-01-09,2024-01-09,Male,VIP,Credit Card,T50008,Completed,2,Returned,Average,posible abandono
386,P1009,Item_A,3436,12,104,89,3.5,202,Supplier_B,3619,-595.3200000000002,2025-01-10,2024-01-10,Male,VIP,Credit Card,T50009,Pending,3,Returned,Average,posible abandono
456,P1010,Item_D,3265,39,132,9,2.2,370,Supplier_B,2950,-958.35,2025-01-11,2024-01-11,Male,VIP,Cash,T50010,Cancelled,3,Returned,Average,posible abandono
745,P1011,Item_D,3037,28,26,5,2.8,34,Supplier_C,485,1701.64,2025-01-12,2024-01-12,Female,Regular,Cash,T50011,Cancelled,6,Not Returned,Bad,posible abandono
532,P1012,Item_A,850,4,7,92,4.1,450,Supplier_C,2344,-1528.0,2025-01-13,2024-01-13,Male,VIP,Cash,T50012,Completed,14,Not Returned,Average,abandono
318,P1013,Item_D,1466,30,171,4,4.0,271,Supplier_A,55,971.2,2025-01-14,2024-01-14,Male,New,Cash,T50013,Cancelled,2,Not Returned,Average,posible abandono
268,P1014,Item_C,3870,5,141,26,1.2,438,Supplier_B,366,3310.5,2025-01-15,2024-01-15,Female,Regular,Cash,T50014,Completed,10,Returned,Good,posible abandono
240,P1015,Item_C,390,22,106,9,2.6,302,Supplier_C,2889,-2584.8,2025-01-16,2024-01-16,Female,VIP,Credit Card,T50015,Pending,5,Returned,Average,posible abandono
716,P1016,Item_B,809,47,40,20,4.7,406,Supplier_C,2299,-1870.23,2025-01-17,2024-01-17,Male,VIP,Cash,T50016,Pending,5,Returned,Bad,posible abandono
568,P1017,Item_B,2519,30,96,35,4.5,317,Supplier_A,3609,-1845.7,2025-01-18,2024-01-18,Male,Regular,Mobile Payment,T50017,Completed,3,Returned,Average,posible abandono
128,P1018,Item_B,3907,37,82,50,4.3,116,Supplier_A,3688,-1226.59,2025-01-19,2024-01-19,Female,New,Cash,T50018,Cancelled,6,Not Returned,Average,posible abandono
370,P1019,Item_B,206,4,142,63,4.1,411,Supplier_C,2991,-2793.24,2025-01-20,2024-01-20,Male,VIP,Credit Card,T50019,Completed,9,Not Returned,Bad,cliente
419,P1020,Item_C,1353,1,18,67,4.4,180,Supplier_C,1582,-242.53,2025-01-21,2024-01-21,Male,VIP,Credit Card,T50020,Completed,14,Not Returned,Average,abandono
